symbol,last,turnover24h,price24h_pct,1D,4H,1H,15m,1D_protected_low,1D_protected_high,1D_last_bos_side,1D_last_bos_level,1D_last_choch_side,1D_last_choch_level,4H_location,1H_location,15m_rsi,long_score,long_grade,long_rr,long_entry,long_stop_hint,long_target_hint,long_15m_trigger,long_5m_trigger,long_sweep15,long_mss15,long_disp15,long_fvg5,long_htf_aligned,long_chase_penalty,long_entry_model_ready,long_reasons,short_score,short_grade,short_rr,short_entry,short_stop_hint,short_target_hint,short_15m_trigger,short_5m_trigger,short_sweep15,short_mss15,short_disp15,short_fvg5,short_htf_aligned,short_chase_penalty,short_entry_model_ready,short_reasons,rs_vs_btc_30m_pct,rs_vs_btc_1h_pct,rs_vs_btc_4h_pct,btc_return_30m_pct,btc_return_1h_pct,btc_return_4h_pct,long_relative_strength_adj,short_relative_strength_adj,long_rs_persistence_bonus,short_rs_persistence_bonus,long_rs_positive_horizons,short_rs_positive_horizons,oi_change_15m_pct,oi_change_1h_pct,oi_change_4h_pct,long_oi_adj,short_oi_adj,oi_accelerating,long_score_base,short_score_base
WLDUSDT,0.4196,72277573.4399,1.4237,bullish,bullish,bullish,bearish,0.3523,0.403,bullish,0.4099,bullish,0.403,equilibrium,premium,38.97881588173768,10.275341935388422,B+,1.583333333333372,0.4196,0.4172,0.4234,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-9.569746148910003,C,0.6315789473684057,0.4196,0.4234,0.4172,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish,-0.7224320222549374,-0.436631950317401,-1.9084925302374933,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-1.4895322524427002,2.7395322524427,0.0,1.25,0,3,0.09181509546802857,-0.05667071154807912,-0.7384173077769951,-0.01206057096399863,0.7155412258171467,False,11.77693475879512,-13.02481962716985
XMRUSDT,576.45,70240270.9379,8.655,bullish,bullish,bullish,bullish,484.29,334.99,bullish,548.34,bullish,334.99,premium,premium,54.5952323647896,14.354594538048541,B+,0.146118721461183,576.45,563.31,578.37,1,1,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-12.078329668999581,C,6.843750000000198,576.45,578.37,563.31,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.27452084208358096,1.410875535391387,-0.29126305836739697,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.8565989711946053,-0.8565989711946053,0.0,0.0,2,1,0.5395954129248315,0.5107651693397885,-1.7731421891750365,1.613242374150345,0.7896348309526208,True,11.88475319270359,-12.011365528757596
STRKUSDT,0.04074,69089687.7218,33.191199999999995,bullish,bullish,bullish,bearish,0.02596,0.02641,bullish,0.03019,bullish,0.02641,premium,premium,43.89716633518812,6.807008365067038,C,0.0607028753993618,0.04074,0.03761,0.04093,0,1,False,False,False,bullish,True,3.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-9.421736712002724,C,16.473684210526088,0.04074,0.04093,0.03761,1,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,0.6216757082279201,1.705268433477669,-3.0227193409888553,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.16940079489944115,-0.16940079489944115,0.0,0.0,2,1,0.06542372035105437,0.4157275988875053,-2.963617663926177,0.6411394028792512,-0.03810120899226206,False,5.996468167288346,-9.21423470811102
AAVEUSDT,142.28,60881585.768,6.8241,bullish,bullish,bullish,bullish,113.16,133.59,bullish,131.64,bullish,133.59,premium,premium,50.17991649832671,11.754257184494291,B+,2.365384615384641,142.28,141.24,144.74,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-9.259861543191404,C,0.4227642276422718,142.28,144.74,141.24,1,3,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-1.301213019772629,-0.3634516111769681,-0.8822321140294687,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-1.3064257478708896,2.5564257478708896,0.0,1.25,0,3,0.07952490540239499,-0.40676458558973616,-0.06482206018882941,-0.018496065368899986,0.697154098946,False,13.07917899773408,-12.513441390008293
PUMPFUNUSDT,0.004079,58964033.5486,-4.4475,bullish,bullish,bearish,bearish,0.00265,0.0015497,bullish,0.002987,bullish,0.0015497,equilibrium,equilibrium,25.868139457316477,2.3418419718093126,C,,0.004079,0.004104,0.004161,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H reverse | 15m reverse,-1.6159576407586553,C,0.0731707317073165,0.004079,0.004161,0.004073,3,1,False,True,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H bearish | 15m bearish,-1.1047823004660895,-1.6954519780546629,-4.474318462942817,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-2.8859746413546707,5.635974641354671,0.0,2.75,0,3,-0.2810066036801895,-0.12319086397073464,-0.9342653929557243,-0.055418260684028664,0.5916621123313467,False,5.283234873848012,-7.843594394444673
APTUSDT,0.7124,57683377.1773,8.0705,bullish,bullish,bullish,bearish,0.5236,0.6153,bullish,0.6833,bullish,0.6153,premium,premium,34.55248875284987,7.339777442225008,B,,0.7124,0.7573,0.7829,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-1.8181661304710395,C,0.7049645390070932,0.7124,0.7829,0.6627,3,3,False,True,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,-6.919539352384673,-8.553553127059399,-6.805612880794776,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-3.0,5.0,0.0,2.0,0,3,1.7394180705372797,1.3365081702734871,-0.30767169336433087,0.9853571706213876,2.1724490589182506,True,9.35442027160362,-8.99061518938929
SPCXUSDT,152.85,55355206.1389,-1.6469999999999998,bullish,bullish,bearish,bullish,142.55,154.76,bearish,143.91,bullish,154.76,premium,equilibrium,60.46964021645153,12.572963924092095,B+,10.685714285714486,152.85,152.5,156.59,3,2,False,True,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H reverse | 15m bullish,-8.950796216777421,C,,152.85,152.66,152.5,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H bearish | 15m reverse | 4H premium,0.12520675655555147,0.03419565930484758,0.5366051735115063,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,1.5672628096523515,-0.3172628096523515,1.25,0.0,3,0,0.0371008644077353,-0.030899582523225,-0.31738150602063087,0.733437725484325,-0.005796796080486258,False,10.272263388955418,-8.627736611044583
LSKUSDT,0.4333,54793275.1871,-3.1543,bullish,bullish,bearish,bullish,0.09675,0.08837,bullish,0.10418,bullish,0.08837,discount,discount,52.74061515064783,18.89437456040052,B+,5.510215995329818,0.4333,0.41617,0.52769,3,0,False,True,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H reverse | 15m bullish | 4H discount,-13.511167195662983,C,,0.4333,0.43197,0.41617,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H bearish | 15m reverse,0.24538312639944548,0.8474704853008941,1.3305275535034466,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,3.920383244102843,-1.170383244102843,2.75,0.0,3,0,-0.09832540144982804,0.1453604483751203,3.8220237770260956,1.003500412088949,0.08872514423113217,False,13.970490904208727,-12.429509095791271
BRUSDT,0.91334,53664051.8835,42.026,bullish,bullish,bullish,bearish,0.24333,0.17539,bullish,0.32485,bullish,0.17539,premium,premium,61.12092332453301,12.727805954562811,B,0.1448548812664904,0.91334,0.87544,0.91883,1,3,False,False,False,bullish,True,3.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-10.66209617582981,C,6.903460837887082,0.91334,0.91883,0.87544,2,2,True,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,3.5708018696418153,1.5322046974793224,5.540393692718282,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,4.808034630588421,-2.8080346305884207,2.0,0.0,3,0,-0.11954464655918873,-1.0702812263376882,-3.0240238131421404,0.33304305838351755,-0.14593492956576884,False,7.586728265590874,-7.708126615675619
BNBUSDT,763.5,53020489.901,1.3678,bullish,bullish,bullish,bullish,674.1,602.0,bullish,718.6,bullish,602.0,premium,premium,55.55294654553756,15.717162951454528,B+,0.9512195121951112,763.5,759.4,767.4,1,1,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-12.74787308983985,C,1.051282051282063,763.5,767.4,759.4,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.07769167450759618,0.18535026401924615,0.5238674513710739,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.7615486787274766,-0.2615486787274766,0.5,0.0,2,1,0.09882185035070545,0.13037934725306233,0.23871041055500974,2.314617266040571,1.5226160431141997,True,12.64099700668648,-14.008940454226572
